Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 119.0.0.0,,,11-12-2023 17:07:48,11-12-2023 17:07:49,0.835s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 119.0.0.0,,,11-12-2023 17:07:49,11-12-2023 17:07:50,0.749s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 119.0.0.0,,,11-12-2023 17:07:50,11-12-2023 17:07:50,0.464s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 119.0.0.0,,,11-12-2023 17:07:50,11-12-2023 17:07:52,1.158s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 119.0.0.0,,,11-12-2023 17:07:52,11-12-2023 17:07:52,0.401s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 119.0.0.0,,,11-12-2023 17:07:52,11-12-2023 17:07:52,0.376s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_27""))",Chrome 119.0.0.0,,,11-12-2023 17:07:52,11-12-2023 17:07:53,0.505s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_27""))",Chrome 119.0.0.0,,,11-12-2023 17:07:53,11-12-2023 17:07:53,0.474s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_comment""), ""Make Appointment"")",Chrome 119.0.0.0,,,11-12-2023 17:07:53,11-12-2023 17:07:54,0.832s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/section_Make Appointment                   _57f49e""))",Chrome 119.0.0.0,,,11-12-2023 17:07:54,11-12-2023 17:07:55,0.423s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 119.0.0.0,,,11-12-2023 17:07:55,11-12-2023 17:07:56,0.887s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 119.0.0.0,,,11-12-2023 17:07:56,11-12-2023 17:07:56,0.887s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 119.0.0.0,,,11-12-2023 17:07:56,11-12-2023 17:07:57,0.377s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_History""))",Chrome 119.0.0.0,,,11-12-2023 17:07:57,11-12-2023 17:07:58,0.976s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 119.0.0.0,,,11-12-2023 17:07:58,11-12-2023 17:07:58,0.378s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Profile""))",Chrome 119.0.0.0,,,11-12-2023 17:07:58,11-12-2023 17:07:59,0.873s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 119.0.0.0,,,11-12-2023 17:07:59,11-12-2023 17:07:59,0.385s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""))",Chrome 119.0.0.0,,,11-12-2023 17:07:59,11-12-2023 17:08:01,1.297s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,11-12-2023 17:08:01,11-12-2023 17:08:01,0.236s,PASSED
